"","id","Condition","Task","ElectrodeSite","ern.l","ern.v","p1.l","p1.v","n1.l","n1.v","p2.l","p2.v","n300.l","n300.v","p3.l","p3.v","n400.l","n400.v","p4.l","p4.v","lpc.l","lpc.v"
"109",128,"congruent","stroop","fz","398","3.406259","88","-3.220157","88","-3.220157","140","2.480844","254","-1.791547","398","3.406259","468","-1.720586","486","-0.210337","626","-3.236017"
"110",128,"congruent","stroop","pz","360","4.174121","114","1.937931","114","1.937931","158","6.497489","248","-3.703489","360","4.174121","466","0.81785","488","1.63521","620","2.368648"
"111",128,"congruent","stroop","cz","396","4.31918","86","-1.924743","86","-1.924743","158","3.641644","254","-1.802926","396","4.31918","466","0.03166","488","1.095889","618","-0.419731"
"112",128,"congruent","simon","fz","278","1.615272","102","-0.287083","102","-0.287083","152","1.648795","238","0.50909","278","1.615272","442","-1.211647","536","-0.343259","788","0.237592"
"113",128,"congruent","simon","pz","320","6.055654","130","-0.860437","130","-0.860437","154","3.007184","200","-5.402349","320","6.055654","448","2.558575","536","1.227039","790","-0.173435"
"114",128,"congruent","simon","cz","312","4.663042","100","-0.81384","100","-0.81384","152","1.301185","200","-0.770273","312","4.663042","448","1.674926","536","0.817279","788","0.523248"
"115",129,"congruent","stroop","fz","368","2.198068","110","-5.564302","110","-5.564302","200","0.857185","244","-4.563476","368","2.198068","456","-1.066157","534","-0.267922","626","-3.638407"
"116",129,"congruent","stroop","pz","382","8.146237","78","-3.168669","78","-3.168669","200","5.932511","254","-1.237203","382","8.146237","474","4.634846","500","5.090292","662","1.957151"
"117",129,"congruent","stroop","cz","372","7.358578","106","-5.069879","106","-5.069879","200","3.307082","252","-4.051415","372","7.358578","470","3.594503","496","4.09784","644","0.573627"
"118",129,"congruent","simon","fz","302","0.009141","106","-5.46142","106","-5.46142","198","-0.757043","248","-5.851068","302","0.009141","458","-3.477568","582","-4.748575","790","-1.799639"
"119",129,"congruent","simon","pz","368","7.113626","78","-2.626209","78","-2.626209","198","4.08059","246","-0.798616","368","7.113626","462","2.199038","482","2.441994","790","-0.350768"
"120",129,"congruent","simon","cz","378","5.885439","106","-4.312613","106","-4.312613","200","2.697896","246","-2.850133","378","5.885439","458","0.491162","478","0.895709","790","-0.518946"
"121",130,"congruent","stroop","fz","270","1.88324","104","-3.021795","104","-3.021795","204","4.577409","290","1.464336","270","1.88324","448","-1.211379","546","-0.361888","678","1.506412"
"122",130,"congruent","stroop","pz","360","9.675854","100","-3.388024","100","-3.388024","198","4.721575","240","2.746569","360","9.675854","488","5.975006","578","5.155603","610","5.665278"
"123",130,"congruent","stroop","cz","366","6.392928","104","-3.567172","104","-3.567172","212","4.162886","240","2.890714","366","6.392928","486","4.263275","578","4.375174","610","4.802411"
"124",130,"congruent","simon","fz","388","0.597415","152","-3.035156","152","-3.035156","182","-0.151122","264","-3.713246","388","0.597415","456","-3.316526","496","-2.171878","628","0.755271"
"125",130,"congruent","simon","pz","322","4.36646","100","-1.946892","100","-1.946892","222","1.101563","266","-0.177538","322","4.36646","376","3.628452","476","1.922822","786","0.871844"
"126",130,"congruent","simon","cz","328","4.242923","100","-2.707175","100","-2.707175","208","1.841302","264","-0.169165","328","4.242923","456","0.47313","578","0.641556","750","0.872108"
"127",131,"congruent","stroop","fz","310","10.915677","92","-6.014205","92","-6.014205","184","8.358817","210","5.740231","310","10.915677","468","-15.514744","558","-16.096291","748","-5.325562"
"128",131,"congruent","stroop","pz","312","10.37871","92","-2.012154","92","-2.012154","186","5.258435","212","3.704684","312","10.37871","492","-2.947368","552","-3.364461","768","0.054909"
"129",131,"congruent","stroop","cz","312","10.588056","92","-4.032502","92","-4.032502","186","5.984539","208","4.32987","312","10.588056","492","-8.286179","558","-7.518179","748","-1.152792"
"130",131,"congruent","simon","fz","342","7.941729","120","-2.843235","120","-2.843235","186","-0.602541","220","-1.941577","342","7.941729","450","0.225805","486","0.465637","708","-1.21984"
"131",131,"congruent","simon","pz","328","13.227994","54","-0.3819","54","-0.3819","110","3.227339","166","-0.025196","328","13.227994","540","-0.832963","570","-0.821475","760","0.013272"
"132",131,"congruent","simon","cz","332","12.00925","92","-1.837062","92","-1.837062","152","-0.885341","164","-1.386458","332","12.00925","474","1.582782","570","-0.380436","776","0.018015"
