id,stroop.congruence,simon.congruence,stroop.ern.fz.l,stroop.ern.fz.v,stroop.ern.pz.l,stroop.ern.pz.v,stroop.ern.cz.l,stroop.ern.cz.v,simon.ern.fz.l,simon.ern.fz.v,simon.ern.pz.l,simon.ern.pz.v,simon.ern.cz.l,simon.ern.cz.v,stroop.p1.fz.l,stroop.p1.fz.v,stroop.p1.pz.l,stroop.p1.pz.v,stroop.p1.cz.l,stroop.p1.cz.v,simon.p1.fz.l,simon.p1.fz.v,simon.p1.pz.l,simon.p1.pz.v,simon.p1.cz.l,simon.p1.cz.v,stroop.n1.fz.l,stroop.n1.fz.v,stroop.n1.pz.l,stroop.n1.pz.v,stroop.n1.cz.l,stroop.n1.cz.v,simon.n1.fz.l,simon.n1.fz.v,simon.n1.pz.l,simon.n1.pz.v,simon.n1.cz.l,simon.n1.cz.v,stroop.p2.fz.l,stroop.p2.fz.v,stroop.p2.pz.l,stroop.p2.pz.v,stroop.p2.cz.l,stroop.p2.cz.v,simon.p2.fz.l,simon.p2.fz.v,simon.p2.pz.l,simon.p2.pz.v,simon.p2.cz.l,simon.p2.cz.v,stroop.n300.fz.l,stroop.n300.fz.v,stroop.n300.pz.l,stroop.n300.pz.v,stroop.n300.cz.l,stroop.n300.cz.v,simon.n300.fz.l,simon.n300.fz.v,simon.n300.pz.l,simon.n300.pz.v,simon.n300.cz.l,simon.n300.cz.v,stroop.p3.fz.l,stroop.p3.fz.v,stroop.p3.pz.l,stroop.p3.pz.v,stroop.p3.cz.l,stroop.p3.cz.v,simon.p3.fz.l,simon.p3.fz.v,simon.p3.pz.l,simon.p3.pz.v,simon.p3.cz.l,simon.p3.cz.v,stroop.n400.fz.l,stroop.n400.fz.v,stroop.n400.pz.l,stroop.n400.pz.v,stroop.n400.cz.l,stroop.n400.cz.v,simon.n400.fz.l,simon.n400.fz.v,simon.n400.pz.l,simon.n400.pz.v,simon.n400.cz.l,simon.n400.cz.v,stroop.p4.fz.l,stroop.p4.fz.v,stroop.p4.pz.l,stroop.p4.pz.v,stroop.p4.cz.l,stroop.p4.cz.v,simon.p4.fz.l,simon.p4.fz.v,simon.p4.pz.l,simon.p4.pz.v,simon.p4.cz.l,simon.p4.cz.v,stroop.lpc.fz.l,stroop.lpc.fz.v,stroop.lpc.pz.l,stroop.lpc.pz.v,stroop.lpc.cz.l,stroop.lpc.cz.v,simon.lpc.fz.l,simon.lpc.fz.v,simon.lpc.pz.l,simon.lpc.pz.v,simon.lpc.cz.l,simon.lpc.cz.v
111,congruent,Congruent,370,0.468393,370,9.595463,370,3.138035,368,2.33885,324,11.09332,352,4.91385,120,-2.683755,108,-0.234155,118,-2.982992,116,-4.811027,106,-1.226747,112,-4.635273,120,-2.683755,108,-0.234155,118,-2.982992,116,-4.811027,106,-1.226747,112,-4.635273,198,5.343234,190,7.079607,188,6.144506,182,-1.3146,182,3.698904,154,1.195524,316,-2.356602,238,-1.435722,288,-2.108367,242,-4.898179,228,-3.985193,230,-6.265593,370,0.468393,370,9.595463,370,3.138035,368,2.33885,324,11.09332,352,4.91385,490,-3.455025,490,4.856577,490,-0.416915,466,-5.077242,470,2.490437,466,-2.847597,592,0.465567,534,4.528615,600,0.592745,510,-3.748091,500,1.855018,500,-2.007277,740,-1.283945,740,0.165328,742,-0.674807,736,-2.992352,794,0.953271,794,0.038926
112,congruent,Congruent,282,8.414344,254,8.551171,284,7.67626,???,???,???,???,???,???,106,-3.944938,140,-1.911555,108,-3.681728,???,???,???,???,???,???,106,-3.944938,140,-1.911555,108,-3.681728,???,???,???,???,???,???,220,11.221916,218,7.48538,218,9.102153,???,???,???,???,???,???,276,7.988996,240,6.527258,240,7.840866,???,???,???,???,???,???,282,8.414344,254,8.551171,284,7.67626,???,???,???,???,???,???,492,-17.08712,440,-2.780811,444,-6.498114,???,???,???,???,???,???,532,-18.019728,486,-1.656855,486,-7.381234,???,???,???,???,???,???,768,-7.904182,766,-3.086463,766,-5.322605,???,???,???,???,???,???
113,congruent,Congruent,360,-2.032967,354,3.46185,358,0.45609,346,9.490646,346,11.578186,346,10.895806,96,-4.160848,78,-3.794574,84,-3.894564,104,-6.792297,78,-3.275472,102,-6.110725,96,-4.160848,78,-3.794574,84,-3.894564,104,-6.792297,78,-3.275472,102,-6.110725,216,14.173129,180,11.260292,216,13.286902,194,3.603855,154,2.588507,194,3.445868,322,-0.187534,294,5.79994,320,2.054613,244,1.156561,210,0.489259,246,1.744715,360,-2.032967,354,3.46185,358,0.45609,346,9.490646,346,11.578186,346,10.895806,470,-12.448833,436,-2.986946,480,-10.672626,456,-0.736702,456,1.747326,456,0.691696,572,-11.098918,570,-9.040356,572,-10.49955,514,1.600729,536,3.263578,548,2.382881,794,-8.521604,784,-4.244551,794,-6.918667,770,1.972369,770,3.631062,770,3.143955
115,congruent,Congruent,278,3.881132,308,7.180825,278,6.214256,372,0.478745,366,2.531449,364,1.695732,84,-1.233116,148,-1.23242,138,-1.117649,92,-1.129852,76,0.897799,94,-1.87266,84,-1.233116,148,-1.23242,138,-1.117649,92,-1.129852,76,0.897799,94,-1.87266,218,6.30694,214,4.12379,220,6.806835,154,1.458315,172,-0.585113,154,0.366435,270,3.291446,246,2.289664,254,5.532921,242,-3.540453,234,-1.323117,242,-0.759141,278,3.881132,308,7.180825,278,6.214256,372,0.478745,366,2.531449,364,1.695732,428,-7.169088,474,-2.869927,428,-2.629358,462,-3.654965,496,-0.442492,494,-2.356506,570,-16.602877,572,-4.893329,572,-9.168132,596,-1.759511,586,-0.407281,590,-0.832744,780,-10.939984,620,-5.939339,620,-9.670741,746,-1.841881,754,-0.348562,710,-2.91758
116,congruent,Congruent,452,0.209692,374,8.71243,408,5.015016,286,-0.203987,366,12.779716,398,8.460326,116,-2.960431,102,-1.828317,116,-3.545844,110,-5.804081,104,-2.224252,108,-5.419561,116,-2.960431,102,-1.828317,116,-3.545844,110,-5.804081,104,-2.224252,108,-5.419561,242,2.59113,230,7.322884,232,5.478166,182,-1.210346,216,5.356616,194,1.088654,338,-3.213073,294,4.731641,304,2.485149,228,-2.62445,158,1.89484,198,1.090628,452,0.209692,374,8.71243,408,5.015016,286,-0.203987,366,12.779716,398,8.460326,336,-3.277813,420,7.655029,422,4.604129,374,-2.202453,490,5.060908,490,4.488924,512,-1.142416,518,9.425732,514,5.872288,516,1.288474,514,5.288694,514,4.729239,630,-1.651758,618,6.967678,630,4.155508,642,0.239471,640,0.917261,642,0.843338
117,congruent,Congruent,372,6.54744,374,8.592958,372,8.363153,356,1.084531,274,1.058573,274,0.93369,112,-5.569303,112,-4.658108,112,-6.427712,148,-1.869746,134,-1.321156,98,-1.302642,112,-5.569303,112,-4.658108,112,-6.427712,148,-1.869746,134,-1.321156,98,-1.302642,200,8.75214,212,6.677452,200,8.345084,232,-0.665005,194,0.467577,180,-0.121346,312,0.437258,312,4.61258,312,3.242801,300,-1.103525,242,-0.378134,242,-0.841375,372,6.54744,374,8.592958,372,8.363153,356,1.084531,274,1.058573,274,0.93369,474,-0.685741,480,3.026975,470,1.747897,312,-0.939876,486,-0.242611,318,-0.341822,572,0.862222,578,3.392428,578,2.992624,592,1.443172,590,0.817912,590,1.905852,620,1.003633,620,3.234464,620,3.520073,712,1.568272,614,0.754196,712,1.106834
118,congruent,Congruent,???,???,???,???,???,???,262,2.82835,262,2.259452,262,3.759331,???,???,???,???,???,???,94,-4.367619,70,-2.482313,88,-5.031076,???,???,???,???,???,???,94,-4.367619,70,-2.482313,88,-5.031076,???,???,???,???,???,???,146,-1.851615,164,0.112755,196,-0.743167,???,???,???,???,???,???,170,-2.988427,204,-2.151351,170,-4.016891,???,???,???,???,???,???,262,2.82835,262,2.259452,262,3.759331,???,???,???,???,???,???,390,-2.470234,390,-1.545921,390,-2.11435,???,???,???,???,???,???,582,-2.415005,532,-0.567032,528,-1.767604,???,???,???,???,???,???,792,0.00042,698,1.13494,696,-0.192839
119,congruent,Congruent,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???
120,congruent,Congruent,???,???,???,???,???,???,322,4.729672,352,11.879902,358,9.526643,???,???,???,???,???,???,100,-3.956689,78,-5.15729,114,-3.977887,???,???,???,???,???,???,100,-3.956689,78,-5.15729,114,-3.977887,???,???,???,???,???,???,124,-0.99941,202,4.23281,192,4.777575,???,???,???,???,???,???,134,-1.794236,240,-0.034262,236,1.814171,???,???,???,???,???,???,322,4.729672,352,11.879902,358,9.526643,???,???,???,???,???,???,482,-2.10038,494,1.214776,486,-0.0159,???,???,???,???,???,???,574,-0.587599,568,2.236586,526,0.528134,???,???,???,???,???,???,790,1.917631,784,1.303431,792,1.05959
121,congruent,Congruent,366,5.644444,362,9.463485,366,6.498726,336,4.007162,340,12.706116,340,8.17483,102,-8.876849,98,-3.327584,100,-7.620415,98,-7.577011,94,-2.017329,96,-5.437744,102,-8.876849,98,-3.327584,100,-7.620415,98,-7.577011,94,-2.017329,96,-5.437744,164,3.770293,162,5.535301,164,5.387374,164,-4.237895,162,0.242192,162,-1.229719,226,-2.72243,230,-2.219031,228,-2.670857,186,-5.68383,218,-4.743095,222,-6.976444,366,5.644444,362,9.463485,366,6.498726,336,4.007162,340,12.706116,340,8.17483,456,0.359082,448,6.787502,434,1.950186,460,-7.728635,446,5.416943,446,-2.861432,518,0.30691,520,6.284295,518,1.546307,598,-1.435654,506,4.739945,548,-0.147117,624,-0.215989,788,1.952979,622,0.316279,694,1.676539,642,3.617729,694,2.480674
122,congruent,Congruent,256,7.853605,310,9.678005,256,10.212564,324,2.573636,334,10.447471,332,8.326121,104,-2.224747,74,-2.423107,104,-1.855094,106,-2.997186,76,-3.089586,106,-3.408966,104,-2.224747,74,-2.423107,104,-1.855094,106,-2.997186,76,-3.089586,106,-3.408966,210,7.371939,216,11.036956,222,10.056817,172,0.946224,172,3.654609,244,5.034895,228,7.206482,262,9.793457,230,9.927937,232,-1.083098,192,2.879321,188,2.820721,256,7.853605,310,9.678005,256,10.212564,324,2.573636,334,10.447471,332,8.326121,426,-6.635979,462,-2.156566,464,-3.399623,432,-2.820653,480,0.440353,474,-0.971774,452,-6.472832,484,-1.779905,490,-3.483779,512,-1.924959,504,0.694713,510,-0.71638,794,-5.514756,666,-2.138243,666,-3.186698,688,-1.784671,706,1.786348,790,-1.639023
123,congruent,Congruent,404,-3.700035,322,2.496843,404,-0.079054,348,10.311092,350,17.798796,350,16.006281,128,-4.073655,140,-0.094701,138,-3.078789,84,-5.776904,74,-3.35503,82,-4.237871,128,-4.073655,140,-0.094701,138,-3.078789,84,-5.776904,74,-3.35503,82,-4.237871,172,0.743782,186,2.529093,178,1.123716,156,-2.725735,226,0.100444,156,-1.623449,290,-8.320899,278,-0.568642,288,-4.396942,234,-5.606505,252,-0.54338,258,-1.280916,404,-3.700035,322,2.496843,404,-0.079054,348,10.311092,350,17.798796,350,16.006281,462,-5.513769,444,0.360425,380,-1.441421,460,-3.605814,492,0.608074,492,-1.842392,502,-3.154088,502,2.633646,504,0.924987,510,-3.29012,634,-2.366393,638,-2.516385,642,-4.898451,642,-0.489665,610,-1.729765,762,-1.449985,762,-1.080692,764,-1.364464
124,congruent,Congruent,374,3.196317,374,3.482683,374,4.060057,336,3.568771,336,6.102269,344,6.69586,106,-2.618946,80,-0.93531,80,-2.131096,120,-0.455639,74,-0.416833,82,-0.575574,106,-2.618946,80,-0.93531,80,-2.131096,120,-0.455639,74,-0.416833,82,-0.575574,226,7.63798,212,5.945443,226,6.663313,156,0.223662,158,4.233295,158,1.232575,288,-0.223991,286,-1.028304,288,-0.472321,196,-1.738466,262,0.952395,190,-0.637892,374,3.196317,374,3.482683,374,4.060057,336,3.568771,336,6.102269,344,6.69586,458,-0.487362,460,0.11103,444,0.864997,456,-1.347756,476,0.237982,480,-0.141151,586,2.533053,586,3.668531,586,4.100984,578,0.105227,558,1.447963,576,0.36362,608,2.461271,606,3.620962,626,3.308233,716,0.833151,752,0.442909,744,0.498893
125,congruent,NA,338,1.408583,312,2.832225,312,2.482316,,,,,,,108,-5.752663,106,-0.442335,108,-3.97776,,,,,,,108,-5.752663,106,-0.442335,108,-3.97776,,,,,,,204,2.632003,188,1.580322,200,2.266788,,,,,,,258,-2.625108,238,-1.193108,252,-1.629994,,,,,,,338,1.408583,312,2.832225,312,2.482316,,,,,,,434,-3.291826,446,0.276447,446,-1.411646,,,,,,,546,-1.243149,486,1.130811,550,0.033896,,,,,,,784,-1.193268,784,0.556843,784,-0.046452,,,,,,
126,congruent,Congruent,260,2.739346,282,2.632345,262,2.80054,348,6.371948,334,7.981546,344,9.779273,112,-3.99754,118,1.85001,112,-2.859533,90,-3.219827,126,1.87093,130,-1.285701,112,-3.99754,118,1.85001,112,-2.859533,90,-3.219827,126,1.87093,130,-1.285701,176,3.985368,188,4.563784,180,3.612117,188,-1.737254,180,5.658117,190,2.999965,204,1.244342,230,0.870791,230,1.42311,224,-4.102138,222,-0.297526,222,0.375191,260,2.739346,282,2.632345,262,2.80054,348,6.371948,334,7.981546,344,9.779273,338,-3.758511,328,0.252094,328,-0.351387,460,-1.353771,486,2.21104,488,0.196556,378,-2.006355,376,2.101812,378,1.76899,550,0.342744,568,3.875112,570,2.856498,792,2.721114,782,0.252194,784,0.816597,768,2.714958,620,3.789108,770,3.868609
128,congruent,Congruent,398,3.406259,360,4.174121,396,4.31918,278,1.615272,320,6.055654,312,4.663042,88,-3.220157,114,1.937931,86,-1.924743,102,-0.287083,130,-0.860437,100,-0.81384,88,-3.220157,114,1.937931,86,-1.924743,102,-0.287083,130,-0.860437,100,-0.81384,140,2.480844,158,6.497489,158,3.641644,152,1.648795,154,3.007184,152,1.301185,254,-1.791547,248,-3.703489,254,-1.802926,238,0.50909,200,-5.402349,200,-0.770273,398,3.406259,360,4.174121,396,4.31918,278,1.615272,320,6.055654,312,4.663042,468,-1.720586,466,0.81785,466,0.03166,442,-1.211647,448,2.558575,448,1.674926,486,-0.210337,488,1.63521,488,1.095889,536,-0.343259,536,1.227039,536,0.817279,626,-3.236017,620,2.368648,618,-0.419731,788,0.237592,790,-0.173435,788,0.523248
129,congruent,Congruent,368,2.198068,382,8.146237,372,7.358578,302,0.009141,368,7.113626,378,5.885439,110,-5.564302,78,-3.168669,106,-5.069879,106,-5.46142,78,-2.626209,106,-4.312613,110,-5.564302,78,-3.168669,106,-5.069879,106,-5.46142,78,-2.626209,106,-4.312613,200,0.857185,200,5.932511,200,3.307082,198,-0.757043,198,4.08059,200,2.697896,244,-4.563476,254,-1.237203,252,-4.051415,248,-5.851068,246,-0.798616,246,-2.850133,368,2.198068,382,8.146237,372,7.358578,302,0.009141,368,7.113626,378,5.885439,456,-1.066157,474,4.634846,470,3.594503,458,-3.477568,462,2.199038,458,0.491162,534,-0.267922,500,5.090292,496,4.09784,582,-4.748575,482,2.441994,478,0.895709,626,-3.638407,662,1.957151,644,0.573627,790,-1.799639,790,-0.350768,790,-0.518946
130,congruent,Congruent,270,1.88324,360,9.675854,366,6.392928,388,0.597415,322,4.36646,328,4.242923,104,-3.021795,100,-3.388024,104,-3.567172,152,-3.035156,100,-1.946892,100,-2.707175,104,-3.021795,100,-3.388024,104,-3.567172,152,-3.035156,100,-1.946892,100,-2.707175,204,4.577409,198,4.721575,212,4.162886,182,-0.151122,222,1.101563,208,1.841302,290,1.464336,240,2.746569,240,2.890714,264,-3.713246,266,-0.177538,264,-0.169165,270,1.88324,360,9.675854,366,6.392928,388,0.597415,322,4.36646,328,4.242923,448,-1.211379,488,5.975006,486,4.263275,456,-3.316526,376,3.628452,456,0.47313,546,-0.361888,578,5.155603,578,4.375174,496,-2.171878,476,1.922822,578,0.641556,678,1.506412,610,5.665278,610,4.802411,628,0.755271,786,0.871844,750,0.872108
131,congruent,Congruent,310,10.915677,312,10.37871,312,10.588056,342,7.941729,328,13.227994,332,12.00925,92,-6.014205,92,-2.012154,92,-4.032502,120,-2.843235,54,-0.3819,92,-1.837062,92,-6.014205,92,-2.012154,92,-4.032502,120,-2.843235,54,-0.3819,92,-1.837062,184,8.358817,186,5.258435,186,5.984539,186,-0.602541,110,3.227339,152,-0.885341,210,5.740231,212,3.704684,208,4.32987,220,-1.941577,166,-0.025196,164,-1.386458,310,10.915677,312,10.37871,312,10.588056,342,7.941729,328,13.227994,332,12.00925,468,-15.514744,492,-2.947368,492,-8.286179,450,0.225805,540,-0.832963,474,1.582782,558,-16.096291,552,-3.364461,558,-7.518179,486,0.465637,570,-0.821475,570,-0.380436,748,-5.325562,768,0.054909,748,-1.152792,708,-1.21984,760,0.013272,776,0.018015
132,congruent,Congruent,294,1.940368,338,6.63138,336,4.471407,332,8.629373,344,13.378306,330,12.736726,102,-3.578522,114,-0.629878,96,-4.017977,106,-5.455019,110,-1.705956,102,-4.607322,102,-3.578522,114,-0.629878,96,-4.017977,106,-5.455019,110,-1.705956,102,-4.607322,232,2.72331,164,1.916512,222,2.72627,192,2.887743,158,1.687698,210,2.346647,268,1.3906,240,-0.708097,264,1.583835,230,0.752602,186,-0.411766,226,2.048859,294,1.940368,338,6.63138,336,4.471407,332,8.629373,344,13.378306,330,12.736726,488,-2.968075,442,3.907872,408,2.069213,436,-3.119847,436,4.54731,434,1.74275,526,-2.754861,528,5.47823,508,3.821318,582,-0.792134,534,3.885314,526,2.684248,664,0.207708,612,3.580999,614,4.297983,680,3.636202,660,3.625367,678,4.026037
101,incongruent,Incongruent,370,5.413521,382,4.404282,372,5.596726,,,,,,,104,-11.027672,78,-7.08674,104,-7.241997,,,,,,,104,-11.027672,78,-7.08674,104,-7.241997,,,,,,,234,10.58793,238,10.803299,236,11.453685,,,,,,,176,5.385213,174,7.295149,172,6.352919,,,,,,,370,5.413521,382,4.404282,372,5.596726,,,,,,,420,-1.432339,454,1.29478,456,0.282251,,,,,,,556,7.488713,550,5.816761,554,7.795187,,,,,,,782,8.218663,776,8.139306,782,7.038324,,,,,,
102,incongruent,Incongruent,326,-0.173344,344,6.300642,338,1.79859,340,5.051837,332,10.722912,338,9.371594,114,-5.780666,114,-3.599096,112,-4.851199,128,-5.744282,106,-1.345952,116,-3.038782,114,-5.780666,114,-3.599096,112,-4.851199,128,-5.744282,106,-1.345952,116,-3.038782,218,16.014809,220,9.340631,220,12.861424,194,3.443778,144,3.553357,182,2.591195,314,-0.413707,160,1.905092,304,1.386065,256,-0.259993,206,1.363678,214,0.338248,326,-0.173344,344,6.300642,338,1.79859,340,5.051837,332,10.722912,338,9.371594,392,-7.745518,412,-0.171599,392,-3.565977,430,-1.74147,430,3.423547,406,1.642464,462,-2.729224,466,2.366798,468,-0.411951,518,3.62833,514,8.117038,516,8.506385,640,1.437252,642,4.168077,642,4.046663,710,4.483817,690,4.10896,710,5.584074
103,incongruent,Incongruent,426,9.160395,442,12.629936,426,11.042171,428,3.674279,446,10.406979,446,9.765098,120,-1.592559,76,-1.026784,120,-2.967891,112,-3.691695,66,-3.393274,112,-3.571287,120,-1.592559,76,-1.026784,120,-2.967891,112,-3.691695,66,-3.393274,112,-3.571287,230,8.115537,182,6.159029,180,3.447113,212,5.104764,182,1.883597,212,3.95705,316,-5.143435,302,1.109168,302,-1.806305,274,-2.6204,278,-1.904079,278,-1.085435,426,9.160395,442,12.629936,426,11.042171,428,3.674279,446,10.406979,446,9.765098,512,2.392741,514,8.050282,514,6.855702,530,-2.071839,354,4.786493,550,4.522126,556,8.558396,566,9.573524,554,10.019868,564,0.980852,510,10.093557,580,4.863808,614,9.192162,746,10.098163,624,10.648409,612,0.808231,604,8.030768,706,2.663098
104,incongruent,Incongruent,322,6.46398,368,6.957756,366,7.924399,,,,,,,120,-4.020051,124,-1.399602,122,-3.63211,,,,,,,120,-4.020051,124,-1.399602,122,-3.63211,,,,,,,154,1.46286,206,1.716939,206,1.147141,,,,,,,176,-0.532121,240,-0.469273,238,-1.100798,,,,,,,322,6.46398,368,6.957756,366,7.924399,,,,,,,468,0.8432,494,3.222767,476,3.183835,,,,,,,486,1.766125,518,3.309753,518,2.187348,,,,,,,784,1.790855,692,1.036803,788,2.208413,,,,,,
105,incongruent,Incongruent,424,4.465494,416,8.135119,412,8.463635,464,1.862098,412,6.27536,426,6.041004,70,-4.573472,70,-5.78817,70,-6.441099,144,-6.463608,124,-5.064877,142,-5.471579,70,-4.573472,70,-5.78817,70,-6.441099,144,-6.463608,124,-5.064877,142,-5.471579,212,3.100982,236,1.277049,218,3.324633,244,-0.424561,200,0.918994,260,1.248316,312,-3.119542,278,-0.306888,278,-0.643629,180,-6.802554,234,-3.653916,294,-1.363542,424,4.465494,416,8.135119,412,8.463635,464,1.862098,412,6.27536,426,6.041004,532,-3.787384,474,3.209314,530,1.039074,306,-4.032784,540,2.095697,542,3.934697,564,-0.340537,516,3.934072,564,2.904902,602,3.71721,602,5.049494,602,6.314498,760,3.171738,718,4.56908,732,4.388411,652,2.301018,630,3.754904,652,4.757096
106,incongruent,Incongruent,270,2.449846,268,3.505955,246,3.111986,382,1.767846,336,7.243687,362,4.894302,78,-3.216456,78,-2.905809,94,-3.416047,110,-4.073019,56,-2.171491,110,-3.839841,78,-3.216456,78,-2.905809,94,-3.416047,110,-4.073019,56,-2.171491,110,-3.839841,156,4.242597,182,6.029392,154,3.087649,226,2.331007,230,3.115474,230,3.95578,262,1.799649,218,2.232196,218,1.575437,258,-2.011953,292,1.320182,264,0.16072,270,2.449846,268,3.505955,246,3.111986,382,1.767846,336,7.243687,362,4.894302,338,-5.759644,338,-1.316421,338,-2.051576,442,-2.719659,494,2.552523,452,1.544693,426,-0.769877,422,1.525265,422,0.969259,530,0.714383,592,4.486621,554,3.798081,620,-1.135091,746,2.079116,750,2.26504,776,-0.780365,628,3.931252,628,3.479514
107,incongruent,NA,378,1.009719,316,5.096954,270,4.81845,320,2.87846,322,4.69767,312,7.627149,104,-4.674439,68,-5.396987,106,-5.023492,98,1.269961,66,-5.610988,98,-0.741101,104,-4.674439,68,-5.396987,106,-5.023492,98,1.269961,66,-5.610988,98,-0.741101,194,8.362821,170,7.164846,190,7.031842,198,2.134531,168,4.68823,164,1.793129,238,5.073162,238,-2.725487,238,1.59255,260,-1.36276,230,-2.789067,232,-1.528738,378,1.009719,316,5.096954,270,4.81845,320,2.87846,322,4.69767,312,7.627149,332,-3.114805,448,-2.013635,422,-2.132548,428,-2.479566,414,-4.78509,428,-1.464283,470,1.033208,494,1.257747,478,0.455249,564,0.275744,520,2.975582,564,2.94962,754,2.395806,790,3.439897,788,5.936004,710,1.884416,666,3.675898,708,5.253654
108,incongruent,Incongruent,420,-4.923244,400,-3.162591,416,-4.855315,420,2.480146,414,5.172722,420,4.248086,144,-4.988338,142,-2.096233,142,-4.732167,134,-3.46755,86,-2.011025,108,-3.37041,144,-4.988338,142,-2.096233,142,-4.732167,134,-3.46755,86,-2.011025,108,-3.37041,224,3.154357,216,1.167371,222,3.654762,180,-1.112935,172,3.035205,176,-0.271047,162,-2.645413,270,-2.364243,272,-2.19149,334,-5.298048,342,-2.099106,336,-4.475426,420,-4.923244,400,-3.162591,416,-4.855315,420,2.480146,414,5.172722,420,4.248086,438,-6.451657,442,-4.468627,440,-5.802211,514,-3.172461,494,-0.049777,500,-2.618337,586,-1.108252,568,-0.813724,606,-0.199815,540,-1.546606,540,2.003393,540,-0.557825,604,-0.35823,606,0.088512,780,0.041224,642,-1.09163,644,1.218648,644,0.053495
109,incongruent,Incongruent,294,-8.741886,358,-2.181699,304,-6.498346,326,-1.234272,272,-0.260785,334,0.351257,106,1.133593,140,0.823982,150,0.497494,92,-1.343968,138,-0.198166,140,-2.043024,106,1.133593,140,0.823982,150,0.497494,92,-1.343968,138,-0.198166,140,-2.043024,138,5.279459,170,2.851804,184,3.091249,174,-0.051638,160,2.379675,178,0.561748,280,-9.606346,258,-5.62875,256,-8.219197,244,-3.731391,244,-2.534198,244,-2.757704,294,-8.741886,358,-2.181699,304,-6.498346,326,-1.234272,272,-0.260785,334,0.351257,386,-16.26033,436,-6.607597,412,-12.245776,426,-3.245824,380,-0.842766,362,-0.422735,572,-9.431605,570,-2.917391,582,-5.757581,494,-0.013906,576,3.193574,546,3.058181,778,-5.468571,756,-2.037429,780,-3.381555,780,0.143119,606,2.203696,614,2.030869
110,incongruent,Incongruent,356,2.818618,324,2.918217,326,4.008202,316,3.56498,356,5.141976,280,4.206359,112,-3.639046,70,-3.190323,102,-4.184184,96,-3.922133,68,-3.922835,96,-3.973237,112,-3.639046,70,-3.190323,102,-4.184184,96,-3.922133,68,-3.922835,96,-3.973237,190,2.937961,180,3.576711,180,2.92537,182,-0.016859,184,2.807515,182,1.791155,274,0.207007,256,0.008271,256,0.941948,222,-5.045467,224,-1.004475,222,-3.357103,356,2.818618,324,2.918217,326,4.008202,316,3.56498,356,5.141976,280,4.206359,462,-2.482085,482,-0.743631,482,-0.462836,346,0.17308,390,3.768918,348,2.417657,574,0.534959,560,0.874816,574,1.00066,408,4.012915,424,4.405992,412,5.284473,668,0.156118,706,0.301264,686,0.463991,776,0.082712,668,-0.703375,742,-0.814056
111,incongruent,Incongruent,406,2.866445,412,8.858167,418,4.526825,368,1.832521,330,8.839013,372,3.920848,122,-0.869985,108,1.600976,120,0.290716,118,-2.57055,104,1.191053,114,-1.677486,122,-0.869985,108,1.600976,120,0.290716,118,-2.57055,104,1.191053,114,-1.677486,196,7.187349,188,8.350064,192,8.715867,146,2.405729,182,6.615763,180,3.642267,328,-3.456296,282,-0.342764,290,-2.35386,278,-4.133049,234,-1.211233,236,-4.29613,406,2.866445,412,8.858167,418,4.526825,368,1.832521,330,8.839013,372,3.920848,490,-5.753851,514,1.590622,494,-2.188063,444,-4.194077,438,4.555126,434,-1.179508,556,-1.403257,548,1.810108,554,-0.625617,534,-1.611236,478,5.524137,532,1.272931,730,2.978285,724,5.783922,734,4.32435,752,-0.451685,658,2.001346,760,0.649862
112,incongruent,Incongruent,292,9.340605,294,8.70435,292,9.717957,???,???,???,???,???,???,132,-1.918855,132,-2.673124,132,-3.22996,???,???,???,???,???,???,132,-1.918855,132,-2.673124,132,-3.22996,???,???,???,???,???,???,226,14.879288,208,8.215712,208,10.771908,???,???,???,???,???,???,266,9.719848,266,5.338743,268,7.495017,???,???,???,???,???,???,292,9.340605,294,8.70435,292,9.717957,???,???,???,???,???,???,468,-18.751799,396,-3.791684,468,-8.668416,???,???,???,???,???,???,494,-15.877696,478,0.006149,496,-6.067931,???,???,???,???,???,???,794,-9.49937,776,-1.752511,776,-5.227213,???,???,???,???,???,???
113,incongruent,Incongruent,360,-0.817578,358,4.519699,362,1.415055,346,9.433536,326,9.892922,346,9.91764,94,-4.452742,78,-2.78879,94,-3.93366,100,-6.715451,78,-3.522923,100,-6.138976,94,-4.452742,78,-2.78879,94,-3.93366,100,-6.715451,78,-3.522923,100,-6.138976,214,16.229006,212,12.510362,214,15.333328,206,5.619806,192,1.801038,206,4.392181,346,-2.798292,334,1.887316,334,-0.81134,252,0.552132,252,-0.223357,260,0.678525,360,-0.817578,358,4.519699,362,1.415055,346,9.433536,326,9.892922,346,9.91764,474,-11.539997,474,-6.735052,474,-9.888103,420,1.218895,444,0.53008,444,2.391248,546,-8.514091,512,-5.864957,546,-7.792963,504,4.622226,534,3.296694,504,4.647311,704,-5.539074,786,-1.136512,704,-4.105238,790,2.232337,782,3.533789,788,3.118492
