"","id","mus_code","Task","Condition","ElectrodeSite","max_p3","min_p3","beta","r2"
"1",103,"mus","simon","c","cz",7.0799590340161,-0.640349560840652,0.140000966288201,0.974721155843872
"2",105,"nm","simon","c","cz",8.08891751804137,-2.08647489208513,0.104377566960431,0.843422731437061
"3",106,"nm","simon","c","cz",5.998,0.348577957034049,0.101060799521398,0.96287249920197
"4",108,"mus","simon","c","cz",2.14678747020883,-3.44777458709021,0.0594212364881638,0.676782501547742
"5",109,"nm","simon","c","cz",1.63369202179964,-2.50491650139164,0.0792114298557559,0.807754953047469
"6",110,"mus","simon","c","cz",10.4850727487875,-3.72843535941068,0.330122259138818,0.986094205338775
"7",111,"mus","simon","c","cz",4.82023041282645,-6.16479450342494,0.224418951804708,0.954317271893716
"8",113,"nm","simon","c","cz",10.969,1.88828187863536,0.202101267395153,0.981537461911707
"9",115,"nm","simon","c","cz",2.00963455609073,-0.603298795020083,0.0372114654249858,0.952641365421899
"10",116,"nm","simon","c","cz",8.05727344544258,1.04974810419826,0.0754160882645373,0.865149745664174
"11",117,"mus","simon","c","cz",0.819132597790037,-0.83498583356944,0.00711493649478067,0.0615792000721326
"12",118,"mus","simon","c","cz",1.61850819153014,-1.78274278762021,0.0304179918124686,0.147710861358983
"13",120,"nm","simon","c","cz",9.621,1.81400931651139,0.124065440711341,0.963118286054913
"14",121,"nm","simon","c","cz",8.089,-7.08571108814853,0.290797256307174,0.974381343418693
"15",122,"mus","simon","c","cz",8.378,2.91535577740371,0.079164917445164,0.978145270218369
"16",123,"mus","simon","c","cz",16.054,-3.48071675472075,0.259167290051449,0.845674246264228
"17",124,"mus","simon","c","cz",6.602,-0.602642522624623,0.104666019737632,0.873305883466909
"18",126,"mus","simon","c","cz",9.741,0.205044632589458,0.172459445189162,0.949270423765145
"19",128,"nm","simon","c","cz",4.39159614006433,-0.946533557774037,0.083532446303259,0.914923909962225
"20",129,"nm","simon","c","cz",5.74,-2.72712421459642,0.125365577912411,0.827248281095786
"21",131,"nm","simon","c","cz",11.871,-0.0259179180346992,0.213261425635599,0.969005580132882
"22",132,"mus","simon","c","cz",12.659,1.59057684038599,0.185682429305137,0.943819119808291
"23",103,"mus","simon","ic","cz",6.13819951334144,-0.677739287678539,0.125351328313457,0.973033707385264
"24",105,"nm","simon","ic","cz",4.45756342394293,-2.35728209529841,0.0531860257895208,0.645873785605822
"25",106,"nm","simon","ic","cz",5.609,0.0776833552774121,0.0994417333828749,0.887676932484141
"26",108,"mus","simon","ic","cz",0.294421992966785,-2.84875522074632,-0.00678769944041787,0.0169482028025493
